Komponen,2021,2022,2023,2024,2025
Pengeluaran Konsumsi Rumah Tangga (PK-RT),16173.93,17857.51,19431.91,20999.53,22371.38
Pengeluaran Konsumsi LNPRT,364.82,410.82,454.62,543.72,574.97
Pengeluaran Konsumsi Pemerintah (PK-P),1567.3,1584.13,1675.62,1768.6,1876.44
Pembentukan Modal Tetap Bruto (PMTB),6372.77,6810.51,7252.87,8135.19,9488.31
Perubahan Inventori,390.46,500.78,554.25,485.05,534.54
Net Ekspor Antar Daerah,-1743.52,-1720.2,-1490.15,-1510.3,-1475.03
Total PDRB ADHB,23125.760000000002,25443.55,27879.12,30421.789999999997,33370.61
