Tahun,Total_Ramalan_Tahunan,Total_Batas_Bawah_Tahunan,Total_Batas_Atas_Tahunan,Rata_rata_Bulanan
2023,94629.85,78824.87,110434.84,7885.82
2024,89519.38,71400.89,107637.93,7459.95
